Pore diameter(um)	Cumulative distribution
18.27847218	0.969623678
18.31176637	0.969664672
18.32283758	0.969787653
18.33389542	0.970033615
18.35597117	0.970115602
18.36698916	0.970156596
18.39996408	0.970238583
18.4109295	0.970361564
18.42188187	0.970402558
18.43282123	0.970443552
18.44374762	0.970484545
18.45466108	0.97064852
18.46556165	0.970730508
18.47644937	0.970853489
18.48732427	0.970894482
18.48732427	0.970935476
18.49818639	0.97097647
18.49818639	0.971017463
18.50903577	0.971058457
18.51987244	0.971099451
18.53069645	0.971222432
18.54150783	0.971304419
18.55230661	0.971345413
18.57386654	0.971386406
18.60611291	0.9714274
18.62754854	0.971468394
18.63824788	0.971550381
18.64893495	0.971591375
18.65960979	0.971673362
18.67027242	0.971714356
18.69156124	0.971837337
18.70218748	0.971878331
18.71280166	0.971919324
18.74457219	0.972001312
18.75513846	0.972042305
18.76569285	0.972083299
18.77623538	0.972124293
18.80779213	0.972247274
18.81828756	0.972288268
18.82877128	0.972329261
18.83924335	0.972370255
18.84970379	0.972452242
18.8705899	0.972493236
18.88101564	0.97253423
18.89142989	0.972575223
18.91222399	0.972616217
18.92260392	0.972657211
18.93297247	0.972739198
18.94332968	0.972780192
18.96401019	0.972821186
18.97433355	0.972862179
18.99494664	0.972903173
19.02578264	0.97298516
19.03603913	0.973026154
19.05651902	0.973067148
19.06674247	0.973108141
19.07695498	0.973190129
19.09734725	0.97331311
19.10752707	0.973354103
19.11769606	0.973395097
19.12785425	0.973477085
19.13800165	0.973559072
19.15826424	0.973600066
19.16837948	0.973682053
19.17848406	0.97376404
19.188578	0.973805034
19.21879628	0.973887021
19.22884796	0.974010002
19.24891984	0.974050996
19.2789494	0.97409199
19.29891726	0.974255965
19.30888571	0.974296958
19.31884388	0.974337952
19.34865695	0.974460933
19.38826537	0.974501927
19.40800903	0.974624908
19.41786582	0.974665901
19.42771261	0.974706895
19.4473763	0.974747889
19.46700031	0.974911864
19.47679749	0.974993851
19.50613006	0.975034845
19.515888	0.975075838
19.5256362	0.975116832
19.53537468	0.975157826
19.56453199	0.975198819
19.57423181	0.975239813
19.58392203	0.975280807
19.61293529	0.975362794
19.62258733	0.975485775
19.63222988	0.975526769
19.66110084	0.97564975
19.68988727	0.975690744
19.69946407	0.975772731
19.70903156	0.975895712
19.71858977	0.975936706
19.71858977	0.975977699
19.75673027	0.976018693
19.77574542	0.976059687
19.7852393	0.97610068
19.80419977	0.976141674
19.81366641	0.976223662
19.82312401	0.976264655
19.83257259	0.976346643
19.84201218	0.976387636
19.86086446	0.976469624
19.87027719	0.976551611
19.89846202	0.976592605
19.90783924	0.976674592
19.91720764	0.976715586
19.94526008	0.976838567
19.98254103	0.976879561
20.01968338	0.976920554
20.02894747	0.977043535
20.04744997	0.977084529
20.05668843	0.977166516
20.07513985	0.97720751
20.10275356	0.977248504
